,iter,train,val
0,0,4.8527,4.8444
1,250,2.6888,2.6899
2,500,2.2926,2.3220
3,750,1.9811,2.1305
4,1000,1.7444,2.0834
5,1250,1.4807,2.1121
6,1500,1.2272,2.2033
7,1750,0.9669,2.3488
8,2000,0.7272,2.5447
9,2250,0.5359,2.7274
10,2500,0.3897,2.9278
11,2750,0.2912,3.1570
12,3000,0.2253,3.3250
13,3250,0.1825,3.5207
14,3500,0.1542,3.6184
15,3750,0.1372,3.7604
16,4000,0.1266,3.8625
17,4250,0.1199,3.9425
18,4500,0.1113,4.0649
19,4750,0.1085,4.1039
20,5000,0.1049,4.1924
